epoch,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse,val_r2,val_smape,learning_rate,model_key,fold_name,test_group
14,0.0059944802331867,2.96120834350586,3.8246665000915527,0.1414302889259832,17.10700035095215,18.57830810546875,0.3642112339919737,52.19265365600586,0.0003,A,holdout_F06,F06
15,0.0049246612968925,2.664499044418335,3.462714195251465,0.1030624560646813,14.884449005126951,15.859355926513672,0.5366901084146813,47.93644714355469,0.00015,A,holdout_F06,F06
16,0.0040692859228572,2.413606643676758,3.152569532394409,0.1072446100024044,14.139297485351562,16.177261352539062,0.5179295145103915,47.59943008422852,0.00015,A,holdout_F06,F06
17,0.0037996275838158,2.3032102584838867,3.047572374343872,0.0840502162127695,12.682232856750488,14.321196556091309,0.6222024605473087,44.54718780517578,0.00015,A,holdout_F06,F06
1,0.0608486102666283,8.520718574523926,11.594766616821287,0.2904808843730745,22.17036819458008,25.31905174255371,0.2979621680475438,58.183555603027344,0.0003,B,holdout_F01,F01
2,0.0145778164561161,4.402057647705078,5.64769983291626,0.1767672153203957,17.621749877929688,19.703933715820312,0.5748212671976216,45.0897102355957,0.0003,B,holdout_F01,F01
3,0.0108703981912764,3.77198338508606,4.87699556350708,0.2348026797360478,20.51695251464844,22.67716789245605,0.4368251332314214,51.31173706054688,0.0003,B,holdout_F01,F01
4,0.0083955160559905,3.317960023880005,4.285754203796387,0.2377769482991425,20.546297073364254,22.83728790283203,0.4288440045156513,52.84497833251953,0.0003,B,holdout_F01,F01
5,0.0073963341753979,3.105334520339966,4.0229315757751465,0.2494885924097616,20.713380813598636,23.5284481048584,0.3937493489748289,51.21502685546875,0.00015,B,holdout_F01,F01
6,0.0049049992601091,2.518173933029175,3.2766458988189697,0.2440295870190498,20.795988082885746,23.209449768066406,0.4100769722895534,52.43784332275391,0.00015,B,holdout_F01,F01
7,0.004512550979265,2.3695662021636963,3.1422159671783447,0.2201068350036691,19.238256454467773,22.02259063720703,0.4688679763181675,48.472782135009766,0.00015,B,holdout_F01,F01
1,0.0578030295026704,8.331413269042969,11.32735538482666,0.0880403893750898,11.373064041137695,13.879283905029297,0.6451583183394826,38.804962158203125,0.0003,B,holdout_F02,F02
2,0.016221031770337,4.620998382568359,5.957968235015869,0.0575959714399662,9.12597370147705,11.226365089416504,0.7678445785269388,32.74699020385742,0.0003,B,holdout_F02,F02
3,0.0097313310903994,3.609796762466431,4.614629745483398,0.0841643716785993,11.26637077331543,13.570816040039062,0.6607558125967016,39.00253677368164,0.0003,B,holdout_F02,F02
4,0.0076781013527484,3.203122854232788,4.0985426902771,0.0791129317696834,10.920552253723145,13.15930461883545,0.6810178578512937,40.26608276367188,0.0003,B,holdout_F02,F02
5,0.007316055153971,3.088775396347046,4.000970363616943,0.0793034216909979,11.346259117126465,13.17230987548828,0.6803870367950264,39.63407516479492,0.00015,B,holdout_F02,F02
6,0.005013818922561,2.5050816535949707,3.31249737739563,0.0918869245769127,12.244162559509276,14.179088592529297,0.6296629709060952,42.06759262084961,0.00015,B,holdout_F02,F02
7,0.0044624983617424,2.3784728050231934,3.124733686447144,0.0707660007360942,10.363125801086426,12.444458961486816,0.7147323626808305,37.468997955322266,0.00015,B,holdout_F02,F02
1,0.0535831267457485,8.299253463745117,11.55782985687256,0.1878396798227284,19.95454978942871,21.52821922302246,0.1462774605278614,57.03889846801758,0.0003,B,holdout_F03,F03
2,0.0111367695057073,4.084517002105713,5.242929935455322,0.199263094537388,20.22652053833008,22.17588806152344,0.0941368792720805,57.52286148071289,0.0003,B,holdout_F03,F03
3,0.0081236041744439,3.46407413482666,4.4789018630981445,0.1746169702713126,18.631202697753903,20.759523391723636,0.2061558216980273,54.85636138916016,0.0003,B,holdout_F03,F03
4,0.0072036211713673,3.2693142890930176,4.216834545135498,0.1743222059606499,19.24960327148437,20.740163803100582,0.2076358567342421,54.80281066894531,0.0003,B,holdout_F03,F03
5,0.0069076093260588,3.1787333488464355,4.128203868865967,0.1935670394930246,19.963550567626957,21.85406875610352,0.120238236925401,56.80029296875,0.0003,B,holdout_F03,F03
6,0.0065683854835399,3.120337724685669,4.02655029296875,0.126503281509252,16.631229400634766,17.666444778442383,0.4250913244140341,50.37162399291992,0.0003,B,holdout_F03,F03
7,0.0062816841413636,3.056757688522339,3.938597440719605,0.0913411876016825,13.73387336730957,15.012673377990724,0.5848389901573441,44.04789733886719,0.0003,B,holdout_F03,F03
8,0.0058962161418196,2.957509994506836,3.81453013420105,0.1459997930765353,17.43987464904785,18.9791259765625,0.3364816530496831,52.06649398803711,0.0003,B,holdout_F03,F03
9,0.0055252349570684,2.842742681503296,3.693336725234986,0.0886799838900097,13.135912895202637,14.793180465698242,0.5968899816962226,39.25301361083984,0.0003,B,holdout_F03,F03
10,0.0050328162092858,2.696470022201538,3.524186611175537,0.147800793072108,17.806034088134766,19.09604263305664,0.3282816113547206,51.69807815551758,0.0003,B,holdout_F03,F03
11,0.0052643090607019,2.7957868576049805,3.605095148086548,0.1215220686627199,15.72059726715088,17.31613540649414,0.4476651404443469,47.87369537353516,0.0003,B,holdout_F03,F03
12,0.0045988648907467,2.556127548217773,3.368843078613281,0.1612049681685134,18.201330184936523,19.969465255737305,0.2654296642544264,52.766544342041016,0.00015,B,holdout_F03,F03
13,0.0034212704433611,2.1819517612457275,2.9063007831573486,0.1349328091223346,16.91506576538086,18.24578285217285,0.3867670612908169,50.64791488647461,0.00015,B,holdout_F03,F03
14,0.0036860020591335,2.245418071746826,3.015787363052368,0.1178742942864954,15.63876247406006,17.054180145263672,0.4642500215864777,47.71908950805664,0.00015,B,holdout_F03,F03
1,0.0733161891073604,9.518610954284668,12.838537216186523,0.1401971049919799,15.12160587310791,17.63782501220703,0.6592724057285112,49.60045623779297,0.0003,B,holdout_F04,F04
2,0.0200311593733146,5.111862659454346,6.659119129180908,0.1818215525863373,17.959720611572266,20.077077865600582,0.5585127036880332,48.12081527709961,0.0003,B,holdout_F04,F04
3,0.0112247985871563,3.862551927566528,4.98549747467041,0.2299489827078224,20.379793167114254,22.60824966430664,0.4401764922468727,63.36113739013672,0.0003,B,holdout_F04,F04
4,0.0096950314196072,3.5912461280822754,4.631722927093506,0.1662837615886067,17.182361602783203,19.19696617126465,0.5963709464704242,49.97724914550781,0.00015,B,holdout_F04,F04
5,0.0058074964009929,2.753777503967285,3.586021900177002,0.1562497270970007,16.60004425048828,18.608901977539062,0.6207211023798938,45.609405517578125,0.00015,B,holdout_F04,F04
6,0.0052122592648507,2.614994764328003,3.398080587387085,0.142802193947304,15.711801528930664,17.789836883544922,0.6533739892978888,41.59387969970703,0.00015,B,holdout_F04,F04
1,0.0580929369632524,8.485130310058594,11.362621307373049,0.4605946861376087,26.72991752624512,33.88628387451172,-1.092737097326307,64.01290893554688,0.0003,B,holdout_F05,F05
2,0.0147961753957791,4.416077613830566,5.686611652374268,0.3493693005176377,22.39336585998535,28.49232482910156,-0.4795258310107948,59.61813354492188,0.0003,B,holdout_F05,F05
3,0.0109081978606153,3.8230700492858887,4.886041164398193,0.331169645217446,21.147085189819336,27.627565383911133,-0.3910797543735385,57.89626693725586,0.0003,B,holdout_F05,F05
4,0.0085653081260603,3.3509538173675537,4.327609539031982,0.2711767472306872,18.530681610107425,24.69121742248535,-0.111096601414488,54.25844955444336,0.0003,B,holdout_F05,F05
5,0.0078318867444735,3.213478803634644,4.138978004455566,0.2485956785844133,17.898828506469727,23.52034568786621,-0.0082174235595622,53.4991340637207,0.0003,B,holdout_F05,F05
6,0.0063739790946353,2.8888301849365234,3.7331383228302,0.420437654839093,24.99840545654297,31.917377471923828,-0.8566120193983786,62.37755584716797,0.0003,B,holdout_F05,F05
7,0.0070238800253263,2.995599269866944,3.921058177947998,0.2400564350456738,17.43155860900879,22.98487663269043,0.0371666372524517,53.07295227050781,0.0003,B,holdout_F05,F05
8,0.0059049302388228,2.7501935958862305,3.595908164978028,0.3138606489886146,20.91678810119629,26.77818489074707,-0.3068600463757542,57.706939697265625,0.0003,B,holdout_F05,F05
9,0.0054376483077848,2.675980567932129,3.4467098712921143,0.2830267223196329,19.607746124267575,25.228181838989254,-0.1599483810139732,55.96900177001953,0.0003,B,holdout_F05,F05
10,0.005375277867913,2.643577337265014,3.4311439990997314,0.4295530700389243,25.30539894104004,32.176029205322266,-0.8868253533950123,62.93135833740234,0.00015,B,holdout_F05,F05
11,0.0039392093059264,2.2137796878814697,2.9355900287628174,0.3555223018430767,22.4113826751709,28.80325698852539,-0.5119937941928838,59.50005722045898,0.00015,B,holdout_F05,F05
12,0.0039523770041931,2.2101292610168457,2.9406917095184326,0.3135267914659725,20.82755279541016,26.773679733276367,-0.3064203137332009,57.55008316040039,0.00015,B,holdout_F05,F05
1,0.0739777593829881,10.168761253356934,13.584245681762695,0.0197318787668336,6.044551372528076,6.937333583831787,0.91134858991682,26.40045547485352,0.0003,B,holdout_F06,F06
2,0.0186211108549257,5.329891204833984,6.74292516708374,0.0190200945996636,5.261997699737549,6.81220817565918,0.914517675678924,23.569847106933597,0.0003,B,holdout_F06,F06
3,0.0117766018614865,4.135728359222412,5.351892471313477,0.0371815831376069,7.981013298034668,9.523427963256836,0.8329343845948004,32.652496337890625,0.0003,B,holdout_F06,F06
4,0.0093180765729425,3.738787651062012,4.766134738922119,0.0142851206126431,4.94551944732666,5.903604984283447,0.9357999919488272,23.415010452270508,0.0003,B,holdout_F06,F06
5,0.0078574707319371,3.4204111099243164,4.378037452697754,0.034292169285264,7.227362632751465,9.14612865447998,0.8459097781493504,32.37211227416992,0.0003,B,holdout_F06,F06
6,0.0073982121878562,3.2787632942199707,4.251187324523926,0.0307729816623897,7.011819362640381,8.663630485534668,0.8617388043969516,31.021427154541016,0.0003,B,holdout_F06,F06
7,0.0070972811695742,3.206078052520752,4.161554336547852,0.0188183154410285,5.3926286697387695,6.775331020355225,0.9154406677669936,25.572235107421875,0.00015,B,holdout_F06,F06
8,0.004620624892038,2.6155967712402344,3.3597915172576904,0.0273027809471878,6.746879577636719,8.160845756530762,0.8773208137596488,29.522809982299805,0.00015,B,holdout_F06,F06
9,0.0042673750780138,2.464513063430786,3.2276740074157715,0.0169352621729509,5.20802116394043,6.428470611572266,0.923877012112542,23.813175201416016,0.00015,B,holdout_F06,F06
1,0.0598523772542849,8.61967945098877,11.490336418151855,0.123386217659684,13.816361427307127,16.440105438232422,0.7040115379255594,34.77435302734375,0.0003,C,holdout_F01,F01
2,0.0156241102287012,4.517428874969482,5.846927165985107,0.218226304368298,19.52389335632324,21.875680923461918,0.4759305876962577,52.87992477416992,0.0003,C,holdout_F01,F01
3,0.0105987327182023,3.725874900817871,4.814696788787842,0.161297866879725,17.100627899169922,18.754291534423828,0.6148171745366813,44.5234489440918,0.0003,C,holdout_F01,F01
4,0.0093888845522217,3.5228400230407715,4.531976699829102,0.1872949869398069,17.9271240234375,20.242631912231445,0.5512550357676749,45.745567321777344,0.00015,C,holdout_F01,F01
5,0.0052633573125383,2.585276365280152,3.393547534942627,0.1507161857553374,16.46708869934082,18.15708541870117,0.6389578257096526,43.44353103637695,0.00015,C,holdout_F01,F01
6,0.0051118185310222,2.5200772285461426,3.3445565700531006,0.1834414308592945,17.671714782714844,20.04277229309082,0.560072379922806,45.00992965698242,0.00015,C,holdout_F01,F01
1,0.056900371330799,8.338712692260742,11.18460750579834,0.0244452497946759,5.771101474761963,7.3089776039123535,0.9015957682141256,21.1035213470459,0.0003,C,holdout_F02,F02
2,0.0173720070674739,4.779305934906006,6.16568660736084,0.0437778733970402,7.725643634796143,9.77999496459961,0.8238114115845097,26.218042373657227,0.0003,C,holdout_F02,F02
3,0.0105513060442762,3.7220170497894287,4.805270671844482,0.0327327783145576,6.946701526641846,8.463303565979004,0.8680588291805618,28.167312622070312,0.0003,C,holdout_F02,F02
4,0.0086541664484298,3.3446922302246094,4.351150035858154,0.0230059303327736,5.804676532745361,7.09510612487793,0.9072704229471648,23.204347610473636,0.00015,C,holdout_F02,F02
5,0.0056749935876821,2.69211483001709,3.523740768432617,0.0302073956576768,6.325113773345947,8.127045631408691,0.8783349406507992,24.6605224609375,0.00015,C,holdout_F02,F02
6,0.005056321116813,2.5328845977783203,3.326122283935547,0.0365000148598778,7.7652997970581055,8.938425064086914,0.8528289127727383,31.193017959594727,0.00015,C,holdout_F02,F02
1,0.0564206527030249,8.695467948913574,11.929758071899414,0.2914168157715328,23.080873489379883,27.008190155029297,-0.3436665468714388,61.4492073059082,0.0003,C,holdout_F03,F03
2,0.0140439266937697,4.565033912658691,5.886729717254639,0.4056226656020216,28.31645965576172,32.23970031738281,-0.9146194517890328,67.98274230957031,0.0003,C,holdout_F03,F03
3,0.0092351487635979,3.770745754241944,4.773340225219727,0.6991232875734568,40.71788024902344,44.069183349609375,-2.5774246670820604,80.96753692626953,0.0003,C,holdout_F03,F03
4,0.0078989903362,3.441478967666626,4.415706634521484,0.2391144109141031,22.08864021301269,24.356006622314453,-0.0927295770528351,59.73539352416992,0.0003,C,holdout_F03,F03
5,0.0074261894819098,3.3338446617126465,4.279926776885986,0.3008645626313582,25.10372734069824,27.33809280395508,-0.3766924965403293,64.68244934082031,0.0003,C,holdout_F03,F03
6,0.0071091668436576,3.2660140991210938,4.188777923583984,0.2006241242091385,18.315752029418945,22.289745330810547,0.0848111319326626,48.23715591430664,0.0003,C,holdout_F03,F03
7,0.0058845392146572,2.9353251457214355,3.806352853775024,0.3781040877519125,26.85127258300781,31.189434051513672,-0.7919071322500422,64.53019714355469,0.0003,C,holdout_F03,F03
8,0.0060490754838927,2.9851410388946533,3.864420175552368,0.0949989094562526,14.316871643066406,15.309420585632324,0.5682642215993907,47.08523178100586,0.0003,C,holdout_F03,F03
9,0.0066632429421523,3.13122034072876,4.0509796142578125,0.2248874165753305,21.36505508422852,23.611671447753903,-0.0269610245447975,58.2747688293457,0.0003,C,holdout_F03,F03
10,0.0054205048426274,2.8294684886932373,3.658168315887451,0.1598622312860144,18.13825035095215,19.86263084411621,0.2732683755378144,54.292724609375,0.0003,C,holdout_F03,F03
11,0.0054628779512595,2.7894487380981445,3.6701269149780273,0.1464176426300312,17.74924087524414,19.007156372070312,0.3345202979011721,52.98818206787109,0.00015,C,holdout_F03,F03
12,0.003797918047269,2.26419734954834,3.0590529441833496,0.3025716218155041,24.964580535888672,27.45490455627441,-0.388482408381932,63.81223678588867,0.00015,C,holdout_F03,F03
13,0.0035545849255857,2.238903045654297,2.962414026260376,0.2428693056788541,22.45652961730957,24.504669189453125,-0.1061096927563558,60.23483276367188,0.00015,C,holdout_F03,F03
1,0.0619942726362056,8.911887168884277,11.775343894958496,0.1380164009272529,15.413625717163086,17.476707458496094,0.6654689503483335,40.36094665527344,0.0003,C,holdout_F04,F04
2,0.021001585825405,5.351404190063477,6.819148063659668,0.1471174244503173,16.167699813842773,18.046995162963867,0.6432803135271427,43.53459167480469,0.0003,C,holdout_F04,F04
3,0.0128794756548398,4.189449310302734,5.339493274688721,0.1590677088008296,16.667762756347656,18.77513885498047,0.6139144401703467,44.64889907836914,0.0003,C,holdout_F04,F04
4,0.0101645928127397,3.7085158824920654,4.741710662841797,0.1469792557630157,16.172285079956055,18.046390533447266,0.6433042678535094,44.23729705810547,0.00015,C,holdout_F04,F04
5,0.0067870064558118,3.0228874683380127,3.876012563705444,0.1921977795118341,18.459503173828125,20.638690948486328,0.5334679620305087,51.11015319824219,0.00015,C,holdout_F04,F04
6,0.0055962478141593,2.7338011264801025,3.5181355476379395,0.1694328546159793,17.654708862304688,19.379507064819336,0.5886583711129845,55.10342788696289,0.00015,C,holdout_F04,F04
1,0.0608679827598105,8.754191398620605,11.594599723815918,0.3880925026802538,24.74308204650879,30.25630569458008,-0.6683940115027347,62.7258415222168,0.0003,C,holdout_F05,F05
2,0.0195843191662637,5.106714725494385,6.548371315002441,0.3830511822702803,23.491024017333984,30.13226318359375,-0.6547420649726448,60.83959197998047,0.0003,C,holdout_F05,F05
3,0.0130898815865558,4.163361072540283,5.353896617889404,0.2879384291344242,19.41745376586914,25.65945625305176,-0.1999459883946115,55.27363586425781,0.0003,C,holdout_F05,F05
4,0.0091458216198256,3.418391227722168,4.474535942077637,0.265791089342057,18.9696102142334,24.39830207824707,-0.0848907074375322,55.25802993774414,0.0003,C,holdout_F05,F05
